Title,Company,Location,Type,Level,YearsExp,Country,Skills
Customer Service Agent,Johnson Controls, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Call Center, Customer Support, Customer Care, English, Customer Service/Support"
Marketing Manager,SYE English Community, Dokki,Full Time,Manager,5-10 Yrs of Exp,Giza,"Market Research, Social Media, Online Marketing, Marketing Management, Marketing Plan, Event Management, Education, FMCG"
Medical Representative Heliopolis,So Value Pharma, Cairo,Full Time,Entry Level,0-5 Yrs of Exp,Egypt,"Cardio-metabolic, Sales Skills, Sales Target, Customer Service, Customer Care, Customer Support, Pharmacy, Pharmaceutical, Science"
Order Handling Specialist,Johnson Controls, New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Supply Officer, Supply Planner, Procurement and Logistics Specialist, Order Management Specialist, Order Processing Specialist"
Storekeeper,Confidential, Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Warehousing, Storekeeping, Logistics/Supply Chain"
Senior .NET Developer (Desktop Application),Dexef, Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"ASP.NET, Desktop Development, Information Technology (IT), Devexpress, MVC, TFS, Git, Computer Science, WinForms, MS SQL"
Preschool French Teacher,Leap Development Hub, New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Education, Education/Teaching"
Junior Business Development Specialist (out door),E3mel Business for Financial & Managerial Consultancy, Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Target, Sales Skills, B2B Sales, B2C Sales, Business Development, CRM, Marketing, Corporate Sales, Business Development"
Indoor Sales Executive Furniture,Line Design, Nasr City,Full Time,Experienced,1-3 Yrs of Exp,Cairo,"sales skills, Sales/Retail"
Content Creator / Copy Writer - Alexandria,EL KHETA, Alexandria,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Copywriter, SEO, WordPress, Creative, Writing, Social Media, Marketing, Research, planing, Blog, Writing/Editorial"
STEAM Instructor - Intern,BeSteam, Nasr City,Internship,Student,null Yrs of Exp,Cairo,"Education, Training, Teaching, Instructor, Engineering, Mechatronics, Computer Science, IT Information System, Training/Instructor"
English Instructor - Maadi/Helwan,Speakup, Helwan,Part Time,Freelance / Project,1-5 Yrs of Exp,Cairo,"3 Vacancies, Males Only, English Trainer, Tutor, Instructor, Education, English Teaching, English Training"
Lawyer - Cairo,Bayt El Khebra, Maadi,Full Time,Experienced,15+ Yrs of Exp,Cairo,"legal, lawyer, Legal"
Site Supervisor مشرف موقع معماري,ZDS Architects, Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Architecture, Engineering, Engineering - Construction/Civil/Architecture"
Junior Personnel Specialist,El-Moasser Books, Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Human Resources (HR), Microsoft Office, Labor, English, Human Resources"
Floor controller,Atheel CC, Cairo,Full Time,Entry Level,null Yrs of Exp,Egypt,"Communication Skills, Firm, Administration"
Procurement Specialist,ZDS Architects, Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Construction, Communication Skills, Purchasing, Purchasing/Procurement"
Receptionist,Atheel CC, Cairo,Full Time,Entry Level,null Yrs of Exp,Egypt,"Administration, Office Management, Communication Skills, Administration"
"Product Manager - Monitors, Projectors, View...",Silicon21, Nasr City,Full Time,Freelance / Project,3-5 Yrs of Exp,Cairo,"Electronics, Information Technology (IT), Business Development, Product Management, Sales, Computer Engineering, Telecom"
Resident Engineer / Operator,Silicon21, Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Telecom, IT, Computer Science, Communication, Maintenance, Repair, Office Applications, Microsoft, Antivirus, English"
Safety and Training Officer,Confidential, Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Safety Management, Engineering, Training, Quality, Engineering - Other"
Art Director - Alexandria,Stylish Eve, Alexandria,Full Time,Manager,8+ Yrs of Exp,Egypt,"Art Directing, Art Management, Graphic Design, Adobe Creative Suite, Design Software, Web Development, Video Production, Photography"
